TableInfos;;;;;;;;;;;;;;;;;;;;
ID;Title;ShortTitle;Identifier;Summary;Modified;ReasonDelivery;ExplanatoryText;Language;Catalog;Frequency;Period;ShortDescription;Description;DefaultPresentation;DefaultSelection;GraphTypes;OutputStatus;Source;MetaDataModified;SearchPriority
7;5;4;Topic;LagerOpgeleidenPercentage_5;Lager opgeleiden, percentage;"Vijfjaarsgemiddelde van het percentage lager opgeleiden in de beroepsbevolking voor de jaren 2011 tot en met 2015 voor de gemeentelijke indeling van 1-1-2016.

De lager opgeleiden in deze tabel wijken af van de standaard CBS-indeling van de laag opgeleiden. In deze tabel worden personen met de volgende hoogstbehaalde opleidingen tot de laag opgeleiden gerekend:
- 111 Basisonderwijs:
01001 geen onderwijs gevolgd
01002 onderwijs aan kleuters
01003 basisonderwijs groep 3-8
01004 (basis)educatie
- 121 VMBO-basisberoep/kaderberoeps, mbo1:
01006 praktijkonderwijs
01016 overige beroepsopleiding of cursus met lager niveau
01007 assistentenopleiding (web) bol
01008 assistentenopleiding (web) bbl (incl. geen aanduiding leerweg)
01005 gemeenschappelijke leerjaren avo
01013 vmbo basis- en kaderberoepsgerichte leerweg
01015 lbo, vbo.
Ten opzichte van de standaard CBS-indeling van laag opgeleiden worden de personen met de volgende hoogstbehaalde opleidingen niet tot de lager opgeleiden gerekend:
- 122 VMBO-gemengd/theoretisch, avo onderbouw:
01009 havo, vwo leerjaar 1-3
01010 mms, hbs, gymnasium leerjaar 1-3
01011 voortgezet speciaal onderwijs
01012 mavo
01014 vmbo theoretische- of gemengde leerweg.";;Long;%;0;Impossible;;;;;;;;;
8;;1;TopicGroup;;Sociale zekerheid;"Het publieke stelsel dat bedoeld is om inkomen en/of verzorging te garanderen voor natuurlijke personen ten tijde van pensioen, ziekte, arbeidsongeschiktheid, overlijden of werkloosheid.
Het bestaat uit werknemersverzekeringen, volksverzekeringen en sociale voorzieningen. De werknemersverzekeringen en de volksverzekeringen worden samen aangeduid als sociale verzekeringen.";;;;;;;;;;;;;;
9;6;8;Topic;InstroomWerkregelingWajong_6;Instroom werkregeling Wajong;"De cumulatieve omvang van de instroom in de werkregeling van de Wet werk en arbeidsondersteuning jonggehandicapten (Wajong) in de jaren 2012 tot en met 2014 voor de gemeentelijke indeling 2016.

Wet arbeidsongeschiktheidsvoorziening jonggehandicapten (Wajong):
Wettelijke voorziening in de financiële gevolgen van langdurige arbeidsongeschiktheid van mensen die geen aanspraak kunnen maken op de WAO/WIA omdat er geen arbeidsverleden is opgebouwd.
Dit zijn mensen die arbeidsongeschikt zijn voor de dag dat zij 17 jaar worden of na hun 17e jaar arbeidsongeschikt worden én een opleiding/studie volgen.
Met het van kracht worden van de Participatiewet m.i.v. januari 2015 kunnen alleen jonggehandicapten, die volledig en duurzaam arbeidsongeschikt zijn, nog instromen in de wet Wajong. Jonggehandicapten die nog kunnen werken kunnen vanaf januari 2015 voor ondersteuning bij het zoeken naar werk terecht bij gemeenten.
Jongeren die vóór 2015 al een Wajong-uitkering hadden houden deze uitkering.
Wet Werkregeling Wajong
Om zoveel mogelijk Wajongers aan het werk te krijgen en te houden geldt vanaf 2010 de Wet Wajong voor nieuwe arbeidsongeschikte jongeren. Kort samengevat: vanaf het 18de jaar bekijkt men welke mogelijkheden er zijn om te werken. Die mogelijkheden worden vastgelegd in een participatieplan en de jongeren komen na school in de werkregeling Wajong. Op het 27ste jaar vindt een definitieve beoordeling plaats.";;Long;aantal;0;Impossible;;;;;;;;;
10;7;8;Topic;InstroomWachtlijstWSW_7;Instroom wachtlijst WSW;"De cumulatieve omvang van de instroom op de wachtlijst van de Wet sociale werkvoorziening (WSW) in de jaren 2012 tot en met 2014 voor de gemeentelijke indeling 2016.

Wet sociale werkvoorziening (WSW)
Mensen met een lichamelijke, psychische of verstandelijke handicap kunnen vaak moeilijk een baan vinden. Zij hebben een hoge mate van begeleiding nodig.
Met de WSW geeft de overheid deze mensen de kans om toch te werken en in hun eigen onderhoud te voorzien. Om in aanmerking te komen voor de WSW moet je een WSW-indicatie hebben.
Mensen met een WSW-indicatie kunnen in aanmerking komen voor een WSW-dienstbetrekking of een begeleid werken dienstbetrekking.  Bij een WSW-dienstbetrekking zijn zij in dienst van een gemeente (sociale werkplaats).
Bij een begeleid werken dienstbetrekking is er sprake van een arbeidsovereenkomst bij een reguliere werkgever (WSW regulier dienstverband). Vaak kunnen mensen nadat zij een WSW-indicatie hebben gekregen niet direct aan de slag maar staan ze eerst een tijdje op de wachtlijst (WSW wachtlijst).

WSW-registratie.
De bron voor deze indicator is de WSW-registratie van Panteia. In de WSW-registratie zijn gegevens verzameld van alle personen die geïndiceerd zijn voor de WSW, op de wachtlijst staan, een dienstbetrekking hebben en werken onder begeleiding bij een reguliere werkgever. Deze registratie wordt door CBS niet gebruikt om reguliere statistieken mee te publiceren, maar alleen in maatwerkonderzoek gebruikt. CBS voert geen controles uit op de kwaliteit van de gegevens in deze registratie en kan dus ook niet instaan voor de kwaliteit van de gegevens in de registratie. Het CBS heeft toestemming gekregen van het ministerie van SZW om deze gegevens in dit maatwerkonderzoek te gebruiken.";;Long;aantal;0;Impossible;;;;;;;;;
11;8;8;Topic;InstroomWerkregelingWajongExclWSW_8;Instroom werkregeling Wajong excl. WSW;"De cumulatieve omvang van de instroom in de werkregeling Wajong gecorrigeerd voor de instroom op de wachtlijst van de Wet sociale werkvoorziening (WSW) in de jaren 2012 tot en met 2014, per gemeente voor de gemeentelijke indeling van 1-1-2016. 
Als iemand zowel instroomt in de werkregeling Wajong als op de wachtlijst van de WSW dan wordt deze persoon niet meegeteld in dit cijfer.";;Long;aantal;0;Impossible;;;;;;;;;
12;9;8;Topic;PersonenMetBijstandTotAOWLeeftijd_9;Personen met bijstand tot AOW-leeftijd;"Het aantal personen tot de pensioengerechtigde (AOW-)leeftijd met een bijstands(gerelateerde) uitkering op 31-12-2014 voor de gemeentelijke indeling van 1-1-2016.
Inbegrepen zijn uitkeringen in het kader van:
- de Wet werk en bijstand (WWB);
- de Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte werkloze werknemers (IOAW);
- de Wet inkomensvoorziening oudere en gedeeltelijk arbeidsongeschikte gewezen zelfstandigen (IOAZ);
- het Besluit bijstandsverlening zelfstandigen (Bbz) en
- Bijstand aan (overige) adreslozen.

De cijfers over het aantal personen met een bijstandsuitkering in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal personen met een bijstandsuitkering. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Participatiewet over 31 december 2014 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
13;;;TopicGroup;;Jeugdwet;"Wettelijke verplichting voor gemeenten om zorg aan jongeren te bieden.						
De Jeugdwet wordt op 1 januari 2015 ingevoerd als samenvoeging van de Wet op de jeugdzorg (Wjz), de langdurige jeugd-gehandicaptenzorg en -geestelijke gezondheidszorg uit de Algemene Wet Bijzondere Ziektekosten (AWBZ) en de jeugd-geestelijke gezondheidszorg uit de Zorgverzekeringswet (Zvw). De Jeugdwet regelt de ondersteuning, hulp en zorg voor jeugdigen met opvoed- en opgroeiproblemen, met psychische en psychiatrische problemen of met een lichamelijke, zintuiglijke of verstandelijke beperking. Daarnaast regelt de wet de uitvoering van kinderbeschermingsmaatregelen en de jeugdreclassering.
Onder dit onderwerp zijn in deze tabel de gegevens terug te vinden die als grondslag dienen bij het bepalen van de verdeling van het landelijk budget over de gemeenten ten behoeve van de Jeugdwet.	
";;;;;;;;;;;;;;
14;10;13;Topic;InwonersTot18Jaar_10;Inwoners tot 18 jaar;"Het aantal inwoners tot 18 jaar op 31 december 2014 voor de gemeentelijke indeling van 1-1-2016.

De cijfers over het aantal inwoners in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over het aantal inwoners.
Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Participatiewet over 31 december 2014 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
15;;13;TopicGroup;;Minderjarige kinderen;"Minderjarige kinderen in particuliere huishoudens met het gehele jaar inkomen (exclusief studentenhuishoudens) op 31 december 2013 voor de gemeentelijke indeling van 1-1-2016.
Een persoon is minderjarig als zijn leeftijd lager is dan 18 jaar.";;;;;;;;;;;;;;
16;11;15;Topic;AantalMinderjarigeKinderen_11;Aantal minderjarige kinderen ;"Aantal minderjarige kinderen in particuliere huishoudens met het gehele jaar inkomen (exclusief studentenhuishoudens) op 31 december 2013 voor de gemeentelijke indeling van 1-1-2016.
Een persoon is minderjarig als zijn leeftijd lager is dan 18 jaar.";;Long;aantal;0;Impossible;;;;;;;;;
17;12;15;Topic;InkomenTot120SociaalMinimum_12;Inkomen tot 120% sociaal minimum;"Aantal minderjarige kinderen in particuliere huishoudens met inkomen tot 120 procent van het sociaal minimum in jaar 2013 voor de gemeentelijke indeling van 1-1-2016.
Een persoon is minderjarig als zijn leeftijd lager is dan 18 jaar.

Inkomen tot 120 procent van het sociaal minimum
Om te kunnen beoordelen hoe het besteedbaar inkomen van een huishouden zich verhoudt tot het sociale minimum, moet aan de hand van de regelgeving worden vastgesteld welke norm voor het desbetreffende huishouden van toepassing is. De norm voor een (echt)paar met uitsluitend minderjarige kinderen, bijvoorbeeld, is gelijkgesteld aan de bijstandsuitkering van een echtpaar, aangevuld met de (leeftijdsafhankelijke) Kinderbijslag. Bij 65-plussers is het bedrag aan AOW (uitkering in het kader van de algemene ouderdomswet) als norm gekozen.
Het waargenomen inkomen van huishoudens die uitsluitend op een bijstandsuitkering zijn aangewezen, wijkt in veel gevallen in geringe mate af van de vastgestelde normbedragen. Zouden de normbedragen als inkomensgrens worden gehanteerd, dan valt een deel van deze huishoudens met hun inkomen net boven het sociale minimum. Daarom is niet 100%, maar 120% van het sociaal minimum als inkomensgrens gehanteerd.

De cijfers over kinderen in huishoudens tot 120% sociaal minimum in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over kinderen in huishoudens tot 120% sociaal minimum. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 31 december 2014 gaan.";;Long;aantal;0;Impossible;;;;;;;;;
18;13;15;Topic;InkomenTot120SociaalMinimum_13;Inkomen tot 120% sociaal minimum %;"Minderjarige kinderen in particuliere huishoudens met inkomen tot 120 procent sociaal minimum als percentage van het totaal aantal minderjarige kinderen op 31 december  2013 voor de gemeentelijke indeling van 1-1-2016.
Een persoon is minderjarig als zijn leeftijd lager is dan 18 jaar.

Inkomen tot 120 procent van het sociaal minimum
Om te kunnen beoordelen hoe het besteedbaar inkomen van een huishouden zich verhoudt tot het sociale minimum, moet aan de hand van de regelgeving worden vastgesteld welke norm voor het desbetreffende huishouden van toepassing is. De norm voor een (echt)paar met uitsluitend minderjarige kinderen, bijvoorbeeld, is gelijkgesteld aan de bijstandsuitkering van een echtpaar, aangevuld met de (leeftijdsafhankelijke) Kinderbijslag. Bij 65-plussers is het bedrag aan AOW (uitkering in het kader van de algemene ouderdomswet) als norm gekozen. Het waargenomen inkomen van huishoudens die uitsluitend op een bijstandsuitkering zijn aangewezen, wijkt in veel gevallen in geringe mate af van de vastgestelde normbedragen. Zouden de normbedragen als inkomensgrens worden gehanteerd, dan valt een deel van deze huishoudens met hun inkomen net boven het sociale minimum. Daarom is niet 100%, maar 120% van het sociaal minimum als inkomensgrens gehanteerd.

De cijfers over kinderen in huishoudens tot 120% sociaal minimum in deze tabel kunnen afwijken van soortgelijke cijfers op Statline over kinderen in huishoudens tot 120% sociaal minimum. Dit komt doordat in deze tabel de gemeentelijke indeling van 2016 is toegepast maar de definitieve cijfers ten behoeve van de Jeugdwet over 31 december 2013 gaan.";;Float;%;1;Impossible;;;;;;;;;
